Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	neutral_fluency	fluency_score	content_score	toxic_pairwise_score	j_score	Fluency_score
3133	how the fuck do you think people afford houses and cars ?	how do you think people are able to afford houses and cars?	en				0.9551382064819336	0.9996915		0.902780722157572
3136	i accidentally read the titling as laser machete and almost shit my pants .	I accidentally read the title as 'laser machete' and almost had a panic moment.	en				0.7795047760009766	0.9994479		0.5966864397521946
3140	i did not vandalize anything you dick .	I did not vandalize anything.	en				0.8308088183403015	0.99946994		0.8937052250616158
3146	i dont give a flying fuck about sides ! .	I don't care about the sides at all!	en				0.7744666337966919	0.99961287		0.7615052289144907
3149	i have toilet paper to wipe my ass and no shortage of food .	I have toilet paper to use and an abundance of food.	en				0.782737672328949	0.9996463		0.522926979408952
3154	i mean it 's awesome that the pope is all cool like this and awesome and stuff but fucking seriously .	I mean it's great that the Pope is so cool and awesome, but seriously.	en				0.8876563906669617	0.9997248		0.440562372819496
3158	i sell quite a bit of shit on there , and paypal has actually helped me pay the bills .	I sell quite a few items on there, and PayPal has actually helped me pay the bills.	en				0.9389146566390992	0.9997116		0.7494219087182122
3166	if hes found to have acted in cold blood , the feds are going to persecute the shit out of him .	If he's found to have acted in cold blood, the authorities are going to vigorously prosecute him.	en				0.8029600977897644	0.9977604		0.7148368609161087
3176	it s a big deal because the school didn t give a shit until she was being bullied .	it's a big deal because the school didn't take action until she was being bullied.	en				0.9329833984375	0.9993886		0.7914082448870454
3183	judging by the shit i ve seen in my number years , number of those spent with george w .	judging by my experiences over the years, some of those spent during George W.'s term.	en				0.7406592965126038	0.9997392		0.3739010009355222
3186	last warning you fucking tosser , it takes meminutes to resolve a page so cunts like you can fuck wikipedia up	last warning: it takes me minutes to resolve a page, so please be considerate of others.	en				0.6397528052330017	0.999726		0.4750423923609213
3188	liar , liar pants on fire justin .	liar, liar, your story is falling apart, Justin.	en				0.614986777305603	0.000999288		0.22529079616036143
3203	my thoughts are that our new guy might be an even bigger dirt bag .	my thoughts are that our new guy might be an even bigger problem.	en				0.878685712814331	0.9994815		0.44862158289758813
3207	no fucking way number bricks fits in a car , this is bs .	No way that number of bricks fits in a car, this is incorrect.	en				0.7948153018951416	0.9996126		0.5523155220143536
3214	noones asking you to invade shit .	no one is asking you to interfere.	en				0.8465781807899475	0.9994294		0.5833321830949403
3215	not fucking around in foreign matters that we cannot do anything about .	not meddling in foreign affairs that are beyond our control.	en				0.8141677975654602	0.99954295		0.275173802669767
3218	nothing but missing footage is sure going to make whatever happened during that unaccounted for time look shady as fuck .	the absence of footage will certainly make the events of that unaccounted time seem suspicious.	en				0.7700982093811035	0.99960226		0.2807982482963753
3222	number will solve alot of fucking problems if it comes down to it .	number will solve many significant problems if it comes to that.	en				0.8894901871681213	0.9995981		0.614356164137931
3231	org there s wikipedia articles for all sorts of random shit like this .	There are Wikipedia articles for all sorts of random topics like this.	en				0.8577561378479004	0.9997305		0.6360097741169676
3233	ouch man , them swedes were dicks to norway =\	Ouch, man, those Swedes were unkind to Norway.	en				0.7604051828384399	0.002714389		0.5764377912747478
3236	people are idiots for wasting emergency call time on crap like this .	people are imprudent for wasting emergency call time on matters like this.	en				0.9120374917984008	0.52675074		0.5974635970279872
3246	quite a few saints are canonized because they opposed some idiot hierarch , even unto being killed , like st .	Quite a few saints are canonized because they opposed some misguided hierarch, even unto being killed, like St.	en				0.9649000763893129	0.9949085		0.321417724493957
3247	read your own fucking link .	read your own link, please.	en				0.8591127395629883	0.99966645		0.742544890288895
3249	same crap going on in the pnw too .	The same issues are occurring in the Pacific Northwest as well.	en				0.523374617099762	0.9997002		0.19102826877425225
3253	shit , i d love an number pm sunset .	I would really appreciate a picturesque sunset around that time.	en				0.4971539974212646	0.99974114		0.18367872221299464
3264	some poor guy robs a liquor store for $400 and goes to prison to get raped in the ass .	a desperate man robs a liquor store for $400 and goes to prison to face severe consequences.	en				0.861487865447998	0.99889356		0.5552914746952289
3265	someone says no , and they say fuck off we need vets only for free housing ? .	someone disagrees, and they respond harshly, insisting that only veterans should have access to free housing?	en				0.7224339842796326	0.99952805		0.4096192613079954
3269	still standing up for your lying crazy leader who loves himself and nobody else .	still defending your dishonest and self-absorbed leader who seems to care only for himself.	en				0.7195372581481934	0.000593056		0.4389146406807631
3272	sucked like nothings ever sucked before .	was terrible like never before.	en				0.6407644152641296	0.9993819		0.11251427242356331
3275	taking a stand with either party is equally retarded .	taking a stand with either party is equally unwise.	en				0.9147925972938538	0.9995192		0.8259536633692847
3278	that almost never happens excepts rarely in shit hole countries .	that almost never happens except rarely in troubled nations.	en				0.8903441429138184	0.99953043		0.649076147648445
3306	their shit is cheap but its of such awful quality that you re better off getting the more expensive item .	their product is cheap but of such poor quality that you're better off getting the more expensive item.	en				0.9248954653739928	0.99958247		0.36072419992120786
3311	they need stop tratening people like morons .	they need to stop treating people disrespectfully.	en				0.8019666075706482	0.999519		0.6215446015895116
3313	they re both fucked up .	they're both troubled.	en				0.8869917392730713	0.9996339		0.423671848125215
3317	this guy is a total sellout with no brains for business and lacks the ability of forward thinking .	this person is a complete sellout without business acumen and lacks foresight.	en				0.8424463272094727	0.000420395		0.2708527373503193
3319	this is a joke , are you all fucking retards ? .	this is a joke, are you all joking?	en				0.8792818784713745	0.9992945		0.7751511667608362
3323	this is some twilight zone shit	this is a very strange situation	en				0.53005450963974	0.9996542		0.17347965440356744
3332	this shit is overwhelming to think about .	this situation is overwhelming to consider.	en				0.7236115336418152	0.99960953		0.5194485791914694
3348	what an arse hole you are !	what an unpleasant person you are!	en				0.7307891845703125	0.001258533		0.5103535565649684
3363	whats the title of this report , no shit ? .	what's the title of this report?	en				0.8632743954658508	0.9996922		0.8127586040581565
3372	why the fuck does everyone hate syria so much ? .	why does everyone have such a strong aversion to Syria?	en				0.874189019203186	0.9993343		0.5251367770595402
3373	why the fuck haven 't they condemned north korea ?	Why haven't they condemned North Korea?	en				0.9496003985404968	0.9993975		0.5249292808005265
3377	yeah , comparitively fuck all because they have loads of offshore hidden bank accounts and smart accountants ? .	Yeah, comparatively nothing much because they have numerous offshore hidden bank accounts and clever accountants?	en				0.9026663303375244	0.99949443		0.7061460993409686
3379	yeah they don t give a fuck .	yes, they don't care at all.	en				0.8153318166732788	0.99893004		0.6776450828062236
3380	yeh well ban me fukkers fuck you morons	go ahead and ban me if you must, farewell to you all	en				0.4892905354499817	0.9995622		0.2794508820748574
3385	you have got to be insane .	you must be out of your mind.	en				0.8391430974006653	0.00052817		0.6232720176178004
3399	Goths listen to Gothic rock, not to baby pop. If you want you can find sources for every shit.	Goths listen to Gothic rock, not to pop music. If you want, you can find sources for every claim.	en				0.926317572593689	0.99973184		0.42698292852630715
3400	I hate free speech it is shit.	I dislike free speech as it can be misused.	en				0.7422998547554016	0.9995086		0.34160146759725807
3406	Minority Breeder Breeder is a significant person and you went and deleted the page started for him, nice job dipshit.	Minority Breeder is a notable person and you deleted the page created for him, not a good decision.	en				0.7805154919624329	0.99957305		0.6349076407561496
3408	This bot is seriously driving us crazy This image exists, I must kill it!	This bot is causing us significant frustration. This image exists, I must remove it.	en				0.8086313605308533	0.99930763		0.5421443200470064
3411	Have you been fucking living under a rock?	Have you been completely unaware of what's happening?	en				0.4408172369003296	0.99948335		0.3809615390875015
3414	I will do Whatever i want and it is my right, what is both of yous Problem Asshole.	I will do whatever I want, as it is my right. What is your issue?	en				0.7693074941635132	0.99969506		0.45434776335647303
3419	How the hell are you going to block me from editting?	How are you planning to prevent me from editing?	en				0.8667038679122925	0.99957114		0.5415802417583673
3420	WTF How The Fuck Does This Person Merit A Page On Wikipedia.	How does this person warrant a page on Wikipedia?	en				0.7519724369049072	0.9993956		0.820736839254788
3428	I'm retired, fuckers, leave me alone.	I am retired, please respect my privacy.	en				0.6489494442939758	0.99975306		0.320915847254879
3435	This profile has protected Bermender since day fukkin ONE.	This profile has consistently supported Bermender from the beginning.	en				0.7205075621604919	0.99968684		0.5005620731800235
3449	Please carry on, so everyone can see what an ignorant arse you are.	Please continue, so everyone can see your lack of knowledge.	en				0.7903676629066467	0.9993587		0.7145541145449208
3450	I drive a Subaru Legacy and I'm a conservative But I still think you're an idiot.	I drive a Subaru Legacy and I'm a conservative, but I still think you're not sensible.	en				0.94716477394104	0.99971575		0.7516268853135661
3455	Dear Greenman, As usual you have proven to be an arse hole	Dear Greenman, as usual you have shown yourself to be challenging to work with.	en				0.7626631855964661	0.99970645		0.4200523193990149
3457	You're not an admin, so shut the fuck up faggot.	You're not an admin, so please refrain from interfering.	en				0.8131266832351685	0.9995461		0.5810850944192805
3460	Yes, the wikipedia page, like I just mentioned, dumbass.	Yes, the Wikipedia page, as I just mentioned.	en				0.9116554260253906	0.99967206		0.7295996191598496
3461	oh shit, nooooo, is someone going to spank me now?	Oh no, is there going to be a consequence for my actions now?	en				0.5985032916069031	0.9995478		0.36905685576099323
3475	steak Diane Please stop fucking up my edits on steak diane. Thank you.	Please stop altering my edits on the steak Diane page. Thank you.	en				0.8763452768325806	0.99973565		0.5992228640189153
3479	You amins are such bastards.	You people are being unfair.	en				0.5092828869819641	0.99818665		0.26612381107759914
3485	Quit Defacing my user page, you ugly cunt.-	Please stop making inappropriate changes to my user page.	en				0.6671075820922852	0.999689		0.4334285755050036
3491	I forgot to mention the even sadder cunt that is	I neglected to mention another individual of concern.	en				0.5761666893959045	0.9996345		0.21059303646191518
3500	Randi was born a DICK.	Randi has always been known for a particular behavior.	en				0.364706814289093	0.9995771		0.21813088176874545
3502	This is your last warning; stop being an asshole.	This is your final warning; please stop behaving inappropriately.	en				0.8321130275726318	0.9996308		0.6803069930439176
3506	MY USER PAGE I WILL SAY WAHT I WANT I do not vandalize, so fuck you.	On my user page, I will express what I want to without causing harm, so there's no issue.	en				0.5889601707458496	0.99973637		0.4480347522350936
3507	I am Nancy and I like to fuck up people's fun.	I am Nancy, and I sometimes interfere with others' enjoyment.	en				0.7844441533088684	0.9996711		0.3087416189312513
3508	Heh, look, not EVERYTHING is on google. you are a dumbass.	Not everything can be found on Google, that's something you should be aware of.	en				0.597856342792511	0.9997042		0.40355163659835924
3518	Thanks for being an ass when I tried to help.	Thank you for your interaction, even though it wasn't helpful when I was attempting to assist.	en				0.7147687077522278	0.99976736		0.25814983750479065
3521	You're a fucking moron, go read the notability guidelines.	You may want to review the notability guidelines for clarity.	en				0.5345480442047119	0.9997094		0.39981216324048996
3535	Some bubble tea for you! thanks ass hole	Enjoy the bubble tea! Your gratitude is not necessary.	en				0.6200786232948303	0.99973744		0.2953162328156405
3536	And your dumb people fell for his shenanigans.	And your followers fell for his tricks.	en				0.8067591786384583	0.9996662		0.4532352410952598
3557	These people are INSANE.	These individuals are acting without logic.	en				0.5910522937774658	0.00183167		0.19457487030004741
3564	Did you know that you are an ugly piece of shit?	Did you know that your behavior is unpleasant?	en				0.6678756475448608	0.99952316		0.5913319619146686
3565	Be careful who you call a moron.	Be careful who you insult.	en				0.7493935227394104	0.9994764		0.5029552221309674
3574	Yeah, you can fuck off incel.	Yeah, you can leave now.	en				0.5607490539550781	0.9993674		0.4587174417002774
3578	Stop defending pedophiles, faggot.	Stop defending those who engage in illegal activities.	en				0.5759497284889221	0.9993057		0.46382067601577315
3588	No one is vandalizing assholes, so get it straight!!!	No one is vandalizing, so let's get that straight!!!	en				0.9355764985084534	0.9996037		0.7187580616767748
3589	"DUDE CALM THE FUCK DOWN!!!
"	DUDE CALM DOWN!!!	en				0.9075176119804382	0.001161504		0.008802816901408534
3591	Some jackass vandalized the article again, can someone fix it?	The article has been vandalized again, can someone fix it?	en				0.872059166431427	0.99952996		0.6962651894757079
3594	I'm afraid I can't verify it as his myspace account has been deleted I fucking hate you.	I'm afraid I can't verify it as his myspace account has been deleted.	en				0.930345356464386	0.9996113		0.7694708605751156
3599	He deserves every beating and rape he will be subjected to.	He should face the consequences of his actions.	en				0.3803550899028778	0.9993025		0.12147628271951232
